tipus_resultat,descripcio,forca,p_valor,q_fdr
correlacio,NAO vs Pressió · global,0.6498228871655591,8.74396945694212e-231,5.246381674165272e-227
diferencia_fases,NAO Negative vs Positive · Pressió · global,1.337724931631459,8.103055500693023e-119,1.7502599881496929e-115
diferencia_fases,WEMO Negative vs Positive · Vent U10 · global,1.4515206778639094,2.0383136219614976e-102,2.2013787117184175e-99
correlacio,NAO vs Pressió · estacio,0.7484116442747171,2.7799116646725763e-87,5.559823329345152e-84
correlacio,WEMO vs Vent U10 · estacio,0.7283673837797724,1.6426624667677584e-80,2.4639937001516376e-77
correlacio,NAO vs Pressió · periode,0.7104524633079818,5.945135645175384e-75,7.134162774210461e-72
correlacio,WEMO vs Vent U10 · subregio,0.7055113928439156,1.710854364544867e-73,1.710854364544867e-70
correlacio,NAO vs Pressió · estacio,0.6904886271270441,3.0795965921153055e-69,2.639654221813119e-66
correlacio,NAO vs Pressió · subregio,0.6839680097402172,1.8007232463705794e-67,1.3505424347779346e-64
correlacio,NAO vs Pressió · periode,0.678770659995455,4.27557827011001e-66,2.8503855134066735e-63
correlacio,WEMO vs Vent U10 · periode,0.676430180024856,1.7425734826946532e-65,1.045544089616792e-62
correlacio,NAO vs Pressió · subregio,0.6696836299553542,9.308679969968534e-64,5.077461801801019e-61
correlacio,NAO vs Pressió · subregio,0.6451862856758601,7.525814433944394e-58,3.473452815666643e-55
correlacio,WEMO vs Vent U10 · estacio,0.6289973290883599,3.104984582363566e-54,1.3307076781558142e-51
correlacio,WEMO vs Vent U10 · subregio,0.6237860599544658,4.0820345415794344e-53,1.632813816631774e-50
correlacio,NAO vs Pressió · subregio,0.6192356221398387,3.721006756037684e-52,1.3953775335141316e-49
correlacio,WEMO vs Vent U10 · subregio,0.6172224856574271,9.778413192616048e-52,3.4512046562174294e-49
correlacio,NAO vs Pressió · periode,0.614791835586966,3.110778703001631e-51,1.036926234333877e-48
correlacio,WEMO vs Vent U10 · estacio,0.607270751482093,1.0486928767463792e-49,3.311661716041198e-47
correlacio,NAO vs Pressió · estacio,0.6001943847061241,2.638059907721802e-48,7.914179723165406e-46
correlacio,NAO vs Pressió · estacio,0.5970169448341054,1.0937336195583012e-47,3.1249531987380034e-45
diferencia_fases,NAO Negative vs Positive · Pressió · periode,1.746211054550976,6.243093241631247e-46,4.495027133974498e-43
diferencia_fases,NAO Negative vs Positive · Pressió · estacio,1.875786462211255,3.1112411025615055e-42,1.3440561563065704e-39
diferencia_fases,WEMO Negative vs Positive · Vent U10 · periode,2.088482414493105,1.685981297043084e-41,6.069532669355103e-39
diferencia_fases,WEMO Negative vs Positive · Vent U10 · estacio,2.1953596536911117,4.530301375047567e-41,1.397921567157535e-38
correlacio,WEMO vs Vent U10 · subregio_estacio,0.8783468061660941,1.2456781820460294e-39,2.8746419585677602e-37
correlacio,WEMO vs Vent U10 · subregio_estacio,0.8723077632173356,1.808179450275109e-38,3.7410609316036745e-36
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio,1.9591106249954613,5.615345784853268e-38,1.5161433619103824e-35
correlacio,WEMO vs Vent U10 · subregio_estacio,0.86438633877092,4.9508132691278795e-37,9.90162653825576e-35
diferencia_fases,WEMO Negative vs Positive · Vent U10 · estacio,1.7567114270854125,2.827241249199639e-36,6.785378998079133e-34
diferencia_fases,NAO Negative vs Positive · Pressió · periode,1.3178940434399673,1.998390256168504e-35,4.316522953323969e-33
diferencia_fases,NAO Negative vs Positive · Pressió · subregio,1.433339254072217,5.232270215035421e-34,1.0274276058615008e-31
diferencia_fases,NAO Negative vs Positive · Pressió · estacio,1.7234437397504991,1.937821044780214e-33,3.488077880604385e-31
diferencia_fases,NAO Negative vs Positive · Pressió · subregio,1.3923844496891877,2.3567685903866835e-33,3.9158616578732586e-31
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio,1.6865644147864112,3.327702049552376e-33,5.134168876452237e-31
diferencia_fases,NAO Negative vs Positive · Pressió · estacio,1.381084474276788,1.8417489218686008e-31,2.6521184474907855e-29
correlacio,NAO vs Pressió · subregio_estacio,0.8274206514820366,2.379658906967578e-31,4.3266525581228686e-29
correlacio,WEMO vs Vent U10 · subregio_periode,0.8229480388796278,9.36752991152664e-31,1.653093513798819e-28
diferencia_fases,NAO Negative vs Positive · Pressió · subregio,1.287098094265352,8.766177224861807e-30,1.113820165041265e-27
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · periode,1.7196255663272342,1.1342466388511964e-29,1.3610959666214357e-27
correlacio,WEMO vs Velocitat vent · subregio_estacio,0.8147599476722672,1.044541982928341e-29,1.6938518642081203e-27
diferencia_fases,WEMO Negative vs Positive · Vent U10 · estacio,1.5652005239466384,1.8509844799867885e-29,2.1042770930376124e-27
diferencia_fases,NAO Negative vs Positive · Pressió · subregio,1.2765771736708784,2.4432354381994364e-29,2.638694273255391e-27
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio,1.661565521926959,3.4991238862863104e-29,3.599098854465919e-27
diferencia_fases,WEMO Negative vs Positive · Vent U10 · periode,1.4916433589334104,1.3728141797696476e-27,1.347853921955654e-25
correlacio,NAO vs Pressió · estacio_periode,0.7971279818219901,1.2816407871078825e-27,1.9224611806618237e-25
diferencia_fases,NAO Negative vs Positive · Pressió · periode,1.2858775920257481,2.7338567700530385e-27,2.5674480970932884e-25
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · estacio,1.4477691317332844,1.1847192420967295e-26,1.0662473178870565e-24
correlacio,NAO vs Pressió · estacio_periode,0.7888583402276096,1.041724566242157e-26,1.48817795177451e-24
correlacio,WEMO vs Vent U10 · subregio_periode,0.7832025945854605,4.139842942284446e-26,5.645240375842426e-24
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio,1.4800898160201719,1.2170921241823098e-25,9.736736993458478e-24
correlacio,WEMO vs Vent U10 · subregio_estacio,0.7773476505026864,1.6546447953302175e-25,1.9855737543962612e-23
diferencia_fases,NAO Negative vs Positive · Pressió · estacio,1.2765073562158136,3.3230485864252886e-25,2.563494623813794e-23
correlacio,WEMO vs Vent U10 · subregio_estacio,0.7748785635191577,2.930981507196709e-25,3.448213537878481e-23
correlacio,NAO vs Pressió · subregio_estacio,0.7717758201313492,5.951400193649186e-25,6.737434181489645e-23
correlacio,NAO vs Pressió · estacio_periode,0.7681237369441433,1.3506274083718013e-24,1.4734117182237834e-22
correlacio,WEMO vs Vent U10 · estacio_periode,0.7610827959237862,6.290147235555991e-24,6.621207616374727e-22
correlacio,NAO vs Pressió · subregio_estacio,0.7609694452172275,6.4450776251807495e-24,6.667321681221465e-22
correlacio,NAO vs Pressió · estacio_periode,0.7524082356199469,3.8977245710216495e-23,3.9637876993440505e-21
correlacio,NAO vs Pressió · subregio_estacio,0.748669972168467,8.359427853611553e-23,8.222388052732676e-21
correlacio,NAO vs Pressió · subregio_periode,0.7478877991558837,9.789786059962668e-23,9.473986509641291e-21
diferencia_fases,WEMO Negative vs Positive · Vent U10 · periode,1.2776226560041826,2.3807756735066767e-22,1.7732673981980765e-20
correlacio,WEMO vs Vent U10 · subregio_estacio,0.7388772737945083,5.797605883002657e-22,5.521529412383482e-20
correlacio,WEMO vs Vent U10 · estacio_periode,0.7387062986506604,5.992369599586828e-22,5.617846499612652e-20
correlacio,WEMO vs Vent U10 · subregio_estacio,0.7350615930299127,1.2046396876848487e-21,1.0787818098670287e-19
correlacio,NAO vs Pressió · subregio_periode,0.7344841162747295,1.3441516944594836e-21,1.186016200993662e-19
correlacio,WEMO vs Vent U10 · estacio_periode,0.7331750389311436,1.7213714692423667e-21,1.4968447558629276e-19
correlacio,WEMO vs Vent U10 · estacio_periode,0.7315403656748266,2.3395707238051154e-21,2.005346334690099e-19
correlacio,NAO vs Pressió · estacio_periode,0.7294596978100748,3.446300767232056e-21,2.9123668455482165e-19
correlacio,WEMO vs Vent U10 · subregio_periode,0.7255196721918137,7.106706241668446e-21,5.922255201390372e-19
correlacio,NAO vs Pressió · estacio_periode,0.7249279591090846,7.914107780665829e-21,6.504746121095202e-19
correlacio,WEMO vs Vent U10 · subregio_estacio,0.7226188770661389,1.2012069834066812e-20,9.739516081675794e-19
correlacio,WEMO vs Vent U10 · subregio_periode,0.71569361689893,4.095664454796681e-20,3.2334193064184324e-18
correlacio,NAO vs Anomalia precipitació diària · estacio_periode,0.7051817639127592,2.4624544885632676e-19,1.870218598908811e-17
correlacio,NAO vs Pressió · subregio_estacio,0.7043697607023581,2.819187319901794e-19,2.1143904899263454e-17
correlacio,NAO vs Pressió · subregio_periode,0.7032090639663998,3.417953748522388e-19,2.5154209145308525e-17
correlacio,NAO vs Pressió · estacio_periode,0.7031741866090044,3.4377419165254983e-19,2.5154209145308525e-17
correlacio,NAO vs Anomalia precipitació mensual · estacio_periode,0.7029908554641355,3.543608056431476e-19,2.5616443781432357e-17
correlacio,NAO vs Pressió · subregio_periode,0.7026799370057152,3.7304597427735163e-19,2.664614101981083e-17
correlacio,NAO vs Pressió · subregio_estacio,0.7025974587798492,3.7816169068676445e-19,2.669376640141867e-17
correlacio,NAO vs Pressió · subregio_periode,0.7005112608894961,5.328743965696322e-19,3.7177283481602246e-17
correlacio,NAO vs Pressió · subregio_estacio,0.6969734449139409,9.468899454091346e-19,6.456067809607736e-17
correlacio,WEMO vs Velocitat vent · subregio_estacio,0.6872155036625375,4.431604822118523e-18,2.921937245352872e-16
correlacio,WEMO vs Vent U10 · subregio_periode,0.6867747201242904,4.744811494599465e-18,3.094442279086608e-16
correlacio,NAO vs Pressió · estacio_periode,0.6840279853542849,7.241996792045006e-18,4.622551143858515e-16
correlacio,WEMO vs Velocitat vent · subregio_periode,0.6836268031856026,7.700381822900943e-18,4.863399046042701e-16
correlacio,NAO vs Precipitació mensual · estacio_periode,0.6812879504496547,1.0991547024352337e-17,6.798895066609693e-16
correlacio,WEMO vs Vent U10 · subregio_estacio,0.680223170060784,1.2910530727004547e-17,7.904406567553803e-16
correlacio,NAO vs Pressió · subregio_periode,0.677640921117183,1.9020029090837622e-17,1.1412017454502571e-15
correlacio,WEMO vs Vent U10 · subregio_periode,0.6726669950173906,3.967900131422588e-17,2.3571683949045075e-15
correlacio,NAO vs Pressió · subregio_periode,0.6720660787279374,4.332358143981899e-17,2.548445967048176e-15
correlacio,NAO vs Precipitació mm/dia · estacio_periode,0.6707954003964691,5.213520757315061e-17,3.0370023829019773e-15
correlacio,WEMO vs Vent U10 · estacio_periode,0.6630181763110383,1.5876657314841402e-16,9.159609989331579e-15
correlacio,NAO vs Pressió · subregio_periode,0.6602880007656683,2.3288740928789176e-16,1.318230618610708e-14
correlacio,WEMO vs Vent U10 · estacio_periode,0.6590402895389362,2.770847765204489e-16,1.5537464103950405e-14
correlacio,NAO vs Pressió · estacio_periode,0.658896997654718,2.8265501197827397e-16,1.570305622101522e-14
correlacio,WEMO vs Vent U10 · estacio_periode,0.6555058792217245,4.512971760649676e-16,2.4616209603543687e-14
correlacio,NAO vs Pressió · subregio_periode,0.6527019249673368,6.615049963793393e-16,3.5757026831315635e-14
correlacio,NAO vs Pressió · subregio_estacio,0.6523460796031615,6.941992156688168e-16,3.718924369654376e-14
correlacio,NAO vs Pressió · subregio_estacio,0.6494533637463171,1.025100524294457e-15,5.3952659173392473e-14
correlacio,NAO vs Pressió · estacio_periode,0.648002084049551,1.2445426079828565e-15,6.49326578078012e-14
correlacio,WEMO vs Pressió · estacio_periode,0.6474434638739042,1.340649545403755e-15,6.93439420036425e-14
correlacio,NAO vs Pressió · subregio_estacio,0.6461086338715661,1.6004376592051657e-15,8.207372611308543e-14
correlacio,NAO vs Pressió · subregio_estacio,0.6442046710122942,2.0573290537103962e-15,1.0460995188357947e-13
correlacio,NAO vs Pressió · estacio_periode,0.6434437693078258,2.273402288075424e-15,1.1462532544918105e-13
correlacio,WEMO vs Vent U10 · subregio_periode,0.6413960908893993,2.9702585047858465e-15,1.4728554569186018e-13
correlacio,WEMO vs Vent U10 · estacio_periode,0.6412668462351054,3.020605474356519e-15,1.4855436759130422e-13
correlacio,WEMO vs Vent U10 · subregio_estacio,0.6402648200620537,3.440099962352182e-15,1.6645644979123461e-13
correlacio,WEMO vs Vent U10 · estacio_periode,0.638527655449814,4.305184349609807e-15,2.0664884878127074e-13
correlacio,WEMO vs Vent U10 · subregio_periode,0.6378562424516226,4.693306983639697e-15,2.234908087447475e-13
correlacio,WEMO vs Vent U10 · subregio_periode,0.6340298385266623,7.644939899745709e-15,3.5835655780058013e-13
correlacio,WEMO vs Velocitat vent · subregio_estacio,0.6324892445417897,9.28662192769789e-15,4.319359036138554e-13
correlacio,NAO vs Pressió · subregio_periode,0.6320328889697019,9.835422351779665e-15,4.5394257008213843e-13
correlacio,NAO vs Pressió · subregio_estacio,0.6297683865067897,1.3059229653280297e-14,5.84741626266282e-13
correlacio,WEMO vs Vent U10 · subregio_periode,0.6222979186031666,3.273767854394108e-14,1.3930927039974927e-12
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,3.0486839123625344,3.6177670189376593e-14,1.6279951585219468e-12
correlacio,NAO vs Pressió · subregio_estacio,0.618601574790337,5.112377490738151e-14,2.160159503128796e-12
correlacio,WEMO vs Velocitat vent · estacio_periode,0.6143027279076991,8.522670163819357e-14,3.5511125682580657e-12
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_periode,1.8547367267589674,1.4162329090474678e-13,5.4626126491830895e-12
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_periode,2.9350181698934095,1.5978142689956163e-13,6.054875124614967e-12
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_estacio,3.277293972903619,2.38190350292355e-13,8.720189095448929e-12
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_periode,1.8395095245300164,2.436917677532478e-13,8.772903639116922e-12
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,3.053309347124403,2.4924299596397967e-13,8.825653627576985e-12
correlacio,WEMO vs Vent U10 · subregio_periode,0.6059760691414996,2.2440424220882303e-13,8.916724855979724e-12
correlacio,NAO vs Pressió · subregio_periode,0.6028528095311027,3.203347886333234e-13,1.2644794288157504e-11
correlacio,NAO vs Pressió · estacio_periode,0.601563815824609,3.7060293311306735e-13,1.4533448357375188e-11
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_estacio,3.1828064391358155,5.59025352328823e-13,1.916658350841679e-11
correlacio,NAO vs Pressió · subregio_periode,0.5981188440153354,5.4539750158356e-13,2.124925330845039e-11
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_estacio,2.9702304408549334,6.519091312892767e-13,2.1867734045927993e-11
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_estacio,3.2201645884068317,7.598977465774341e-13,2.4869380797079663e-11
correlacio,WEMO vs Vent U10 · subregio_estacio,0.5910889966554037,1.1830381160805245e-12,4.550146600309709e-11
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,2.0621472274280803,1.4462805651661108e-12,4.59406767758647e-11
correlacio,NAO vs Pressió · subregio_estacio,0.589498636650692,1.4059013631434083e-12,5.305288162805314e-11
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,1.9844670020304749,2.1175559559724506e-12,6.352667867917352e-11
correlacio,NAO vs Pressió · subregio_periode,0.5874533967673262,1.752877631643832e-12,6.41296694503841e-11
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_estacio,2.3216412045544343,2.4280721697057305e-12,7.184432721321065e-11
correlacio,WEMO vs Velocitat vent · subregio_estacio,0.5853117673734675,2.2046902458097915e-12,7.921042799316616e-11
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_estacio,2.24552255434261,3.879496141157771e-12,1.1172948886534379e-10
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_periode,1.6682698885103213,3.9689023908319525e-12,1.1280038373943444e-10
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_periode,1.6295154873659714,5.125626541154378e-12,1.437838094661488e-10
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,1.8817467698049228,5.8779886594776364e-12,1.6277507057014994e-10
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_estacio,2.1058272975236476,1.9377122547388164e-11,5.104217646629078e-10
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,2.094490842674003,2.4656399437131312e-11,6.34021699811948e-10
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_estacio,2.227275181535223,3.294223960436289e-11,8.178762936255614e-10
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,2.1642771371173626,3.4086767291556774e-11,8.366751971563935e-10
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_periode,1.385561881854346,5.621544410851657e-11,1.3491706586043977e-09
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,1.5672830541345688,5.980165924581007e-11,1.4194679557247225e-09
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.72536726126177,6.592679664700745e-11,1.5478465299732184e-09
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,1.7065801093761244,7.832231883488368e-11,1.819099018100524e-09
diferencia_booleanes,NAO Negative vs Positive · mes_molt_sec · estacio,0.29190340909090906,8.876362039366363e-12,3.4440284712741486e-09
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_estacio,2.0624847299109947,2.1423366841865101e-10,4.870997092466171e-09
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.93370150700832,2.369385141057031e-10,5.276156602766172e-09
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_periode,1.3813583111140717,2.4164762734208385e-10,5.326110969988787e-09
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_periode,2.2604268007274055,2.5183150727197587e-10,5.444026101011392e-09
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.8805131449156312,3.6944522709493135e-10,7.823545985539722e-09
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_estacio,1.8383319522083816,4.0210615224859106e-10,8.43251736754327e-09
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.8356397588324627,4.569255782896701e-10,9.48999277986238e-09
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,1.5514692988404066,4.689431827720978e-10,9.646831188454583e-09
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,1.7997695775569162,4.920689750836664e-10,1.0027065907365278e-08
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_estacio,1.7409445983917091,6.841876966538837e-10,1.3558214906168703e-08
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_periode,1.2905687894605697,8.02039181737027e-10,1.5467898504928378e-08
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,1.471963370436001,1.0222573494291295e-09,1.9369086620762452e-08
diferencia_booleanes,WEMO Negative vs Positive · mes_molt_fred · estacio,0.2576593137254902,1.5383423879039512e-10,2.6653514492970805e-08
