ambit,teleconnexio,fase_a,fase_b,variable_booleana,n_a,n_b,events_a,events_b,rate_a_pct,rate_b_pct,diff_el_nino_minus_la_nina_pct,chi2_p,abs_diff_pct,subregio,estacio,periode,q_fdr
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,39,37,1,2,2.564102564102564,5.405405405405405,2.841302841302842,0.9628929657964015,2.841302841302842,Catalunya_Balears,Autumn,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,46,40,1,2,2.1739130434782608,5.0,2.8260869565217392,0.9018650280067901,2.8260869565217392,Catalunya_Balears,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,46,40,1,2,2.1739130434782608,5.0,2.8260869565217392,0.9018650280067901,2.8260869565217392,Mediterrani_Central_Occidental,Winter,,1.0
subregio_periode,roni,La Nina,El Nino,sol_molt_humit,45,24,10,6,22.22222222222222,25.0,2.777777777777779,1.0,2.777777777777779,Catalunya_Balears,,2011-2020,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,36,51,1,0,2.7777777777777777,0.0,-2.7777777777777777,0.8602548856356065,2.7777777777777777,Catalunya_Balears,,1991-2000,1.0
estacio,roni,La Nina,El Nino,mes_molt_calid,184,160,34,34,18.478260869565215,21.25,2.771739130434783,0.6113520429819322,2.771739130434783,,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,39,37,0,1,0.0,2.7027027027027026,2.7027027027027026,0.9788586735238937,2.7027027027027026,Llevant_Iberic,Autumn,,1.0
periode,roni,La Nina,El Nino,mes_molt_humit,144,204,15,16,10.416666666666668,7.8431372549019605,-2.5735294117647065,0.5228182027857897,2.5735294117647065,,,1991-2000,1.0
subregio,roni,La Nina,El Nino,mes_molt_humit,146,138,10,13,6.8493150684931505,9.420289855072465,2.5709747865793138,0.5645036605877733,2.5709747865793138,Llevant_Iberic,,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,39,37,1,0,2.564102564102564,0.0,-2.564102564102564,1.0,2.564102564102564,Mediterrani_Central_Occidental,Autumn,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,34,30,2,1,5.88235294117647,3.3333333333333335,-2.549019607843137,1.0,2.549019607843137,Llevant_Iberic,Spring,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,34,30,2,1,5.88235294117647,3.3333333333333335,-2.549019607843137,1.0,2.549019607843137,Catalunya_Balears,Spring,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_calid,30,34,1,2,3.3333333333333335,5.88235294117647,2.549019607843137,1.0,2.549019607843137,Llevant_Iberic,,1981-1990,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_calid,30,34,1,2,3.3333333333333335,5.88235294117647,2.549019607843137,1.0,2.549019607843137,Catalunya_Balears,,1981-1990,1.0
periode,roni,La Nina,El Nino,mes_molt_humit,140,116,23,22,16.428571428571427,18.96551724137931,2.536945812807881,0.7144174292676342,2.536945812807881,,,2001-2010,1.0
periode,roni,La Nina,El Nino,episodi_fred_i_humit,144,204,2,8,1.3888888888888888,3.9215686274509802,2.5326797385620914,0.28592149217386387,2.5326797385620914,,,1991-2000,1.0
subregio_periode,roni,La Nina,El Nino,sol_molt_sec,35,29,10,9,28.57142857142857,31.03448275862069,2.463054187192121,1.0,2.463054187192121,Llevant_Iberic,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,sol_molt_sec,36,51,9,14,25.0,27.450980392156865,2.450980392156865,0.9932095983916623,2.450980392156865,Mediterrani_Central_Occidental,,1991-2000,1.0
subregio,roni,La Nina,El Nino,sol_molt_sec,146,138,30,25,20.54794520547945,18.115942028985508,-2.432003176493944,0.7127623053787842,2.432003176493944,Golf_Lleo,,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,39,37,2,1,5.128205128205128,2.7027027027027026,-2.425502425502425,1.0,2.425502425502425,Golf_Lleo,Autumn,,1.0
estacio,roni,La Nina,El Nino,sol_molt_humit,108,124,27,28,25.0,22.58064516129032,-2.419354838709678,0.7814189464838441,2.419354838709678,,Summer,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_fred,46,40,8,6,17.391304347826086,15.0,-2.391304347826087,0.9945669118256572,2.391304347826087,Catalunya_Balears,Winter,,1.0
subregio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,146,138,4,7,2.73972602739726,5.072463768115942,2.3327377407186822,0.47731776805694115,2.3327377407186822,Mediterrani_Central_Occidental,,,1.0
periode,roni,La Nina,El Nino,mes_molt_calid,144,204,21,25,14.583333333333334,12.254901960784313,-2.328431372549021,0.6376715779442463,2.328431372549021,,,1991-2000,1.0
estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,156,148,8,11,5.128205128205128,7.4324324324324325,2.3042273042273047,0.5534796106506366,2.3042273042273047,,Autumn,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_calid,46,40,7,7,15.217391304347828,17.5,2.282608695652172,1.0,2.282608695652172,Llevant_Iberic,Winter,,1.0
subregio,roni,La Nina,El Nino,episodi_calid_i_sec,146,138,2,5,1.36986301369863,3.6231884057971016,2.2533253920984717,0.40022545879023763,2.2533253920984717,Catalunya_Balears,,,1.0
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,45,24,1,0,2.2222222222222223,0.0,-2.2222222222222223,1.0,2.2222222222222223,Catalunya_Balears,,2011-2020,1.0
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,45,24,1,0,2.2222222222222223,0.0,-2.2222222222222223,1.0,2.2222222222222223,Mediterrani_Central_Occidental,,2011-2020,1.0
subregio,roni,La Nina,El Nino,episodi_calid_i_sec,146,138,1,4,0.684931506849315,2.898550724637681,2.213619217788366,0.33387438618195375,2.213619217788366,Mediterrani_Central_Occidental,,,1.0
estacio,roni,La Nina,El Nino,episodi_calid_i_sec,156,148,5,8,3.205128205128205,5.405405405405405,2.200277200277201,0.5065852239453279,2.200277200277201,,Autumn,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,35,29,8,6,22.857142857142858,20.689655172413794,-2.1674876847290636,1.0,2.1674876847290636,Golf_Lleo,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,sol_molt_humit,36,51,7,11,19.444444444444446,21.568627450980394,2.1241830065359486,1.0,2.1241830065359486,Llevant_Iberic,,1991-2000,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_calid,36,51,5,6,13.88888888888889,11.76470588235294,-2.1241830065359486,1.0,2.1241830065359486,Catalunya_Balears,,1991-2000,1.0
global,roni,La Nina,El Nino,mes_molt_calid,584,552,83,90,14.212328767123289,16.304347826086957,2.092019058963668,0.36906653707459236,2.092019058963668,,,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_calid,46,40,9,7,19.565217391304348,17.5,-2.06521739130435,1.0,2.06521739130435,Catalunya_Balears,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,46,40,14,13,30.434782608695656,32.5,2.065217391304347,1.0,2.065217391304347,Llevant_Iberic,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,39,37,5,4,12.82051282051282,10.81081081081081,-2.009702009702008,1.0,2.009702009702008,Mediterrani_Central_Occidental,Autumn,,1.0
subregio,roni,La Nina,El Nino,sol_molt_humit,146,138,41,36,28.08219178082192,26.08695652173913,-1.9952352590827893,0.8068404856005202,1.9952352590827893,Catalunya_Balears,,,1.0
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,36,51,0,1,0.0,1.9607843137254901,1.9607843137254901,1.0,1.9607843137254901,Catalunya_Balears,,1991-2000,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,36,51,0,1,0.0,1.9607843137254901,1.9607843137254901,1.0,1.9607843137254901,Mediterrani_Central_Occidental,,1991-2000,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_fred,30,34,5,5,16.666666666666664,14.705882352941178,-1.9607843137254888,1.0,1.9607843137254888,Catalunya_Balears,,1981-1990,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_fred,30,34,5,5,16.666666666666664,14.705882352941178,-1.9607843137254888,1.0,1.9607843137254888,Mediterrani_Central_Occidental,,1981-1990,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,46,40,6,6,13.043478260869565,15.0,1.9565217391304346,1.0,1.9565217391304346,Catalunya_Balears,Winter,,1.0
subregio,roni,La Nina,El Nino,mes_molt_calid,146,138,31,32,21.232876712328768,23.18840579710145,1.9555290847726836,0.7998370427007498,1.9555290847726836,Golf_Lleo,,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_sec,45,24,1,1,2.2222222222222223,4.166666666666666,1.9444444444444442,1.0,1.9444444444444442,Llevant_Iberic,,2011-2020,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_sec,27,31,4,4,14.814814814814813,12.903225806451612,-1.9115890083632014,1.0,1.9115890083632014,Llevant_Iberic,Summer,,1.0
periode,roni,La Nina,El Nino,mes_molt_fred,140,116,28,21,20.0,18.103448275862068,-1.896551724137932,0.822448719967192,1.896551724137932,,,2001-2010,1.0
global,roni,La Nina,El Nino,episodi_calid_i_sol_sec,584,552,26,35,4.4520547945205475,6.340579710144928,1.8885249156243802,0.20067662281373388,1.8885249156243802,,,,1.0
subregio,roni,La Nina,El Nino,mes_molt_sec,146,138,11,13,7.534246575342466,9.420289855072465,1.8860432797299986,0.7205623337940661,1.8860432797299986,Catalunya_Balears,,,1.0
global,roni,La Nina,El Nino,mes_molt_humit,584,552,84,69,14.383561643835616,12.5,-1.8835616438356158,0.39950895958900645,1.8835616438356158,,,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,46,40,2,1,4.3478260869565215,2.5,-1.8478260869565215,1.0,1.8478260869565215,Golf_Lleo,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,46,40,2,1,4.3478260869565215,2.5,-1.8478260869565215,1.0,1.8478260869565215,Mediterrani_Central_Occidental,Winter,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_calid,35,29,3,3,8.571428571428571,10.344827586206897,1.773399014778325,1.0,1.773399014778325,Catalunya_Balears,,2001-2010,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,34,30,4,3,11.76470588235294,10.0,-1.7647058823529405,1.0,1.7647058823529405,Golf_Lleo,Spring,,1.0
periode,roni,La Nina,El Nino,sol_molt_humit,180,96,40,23,22.22222222222222,23.958333333333336,1.7361111111111134,0.859711737868287,1.7361111111111134,,,2011-2020,1.0
periode,roni,La Nina,El Nino,sol_molt_sec,180,96,57,32,31.666666666666664,33.33333333333333,1.6666666666666663,0.8831745482351171,1.6666666666666663,,,2011-2020,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,39,37,12,12,30.76923076923077,32.432432432432435,1.6632016632016633,1.0,1.6632016632016633,Golf_Lleo,Autumn,,1.0
subregio,roni,La Nina,El Nino,mes_molt_sec,146,138,5,7,3.4246575342465753,5.072463768115942,1.647806233869367,0.6929605823415848,1.647806233869367,Llevant_Iberic,,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_sec,36,51,2,2,5.555555555555555,3.9215686274509802,-1.633986928104575,1.0,1.633986928104575,Catalunya_Balears,,1991-2000,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_sec,46,40,18,15,39.130434782608695,37.5,-1.6304347826086973,1.0,1.6304347826086973,Llevant_Iberic,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_sec,46,40,5,5,10.869565217391305,12.5,1.630434782608696,1.0,1.630434782608696,Golf_Lleo,Winter,,1.0
estacio,roni,La Nina,El Nino,sol_molt_sec,184,160,43,40,23.369565217391305,25.0,1.6304347826086945,0.8210421703939125,1.6304347826086945,,Winter,,1.0
global,roni,La Nina,El Nino,episodi_calid_i_sec,584,552,13,21,2.2260273972602738,3.804347826086957,1.578320428826683,0.16569023807880692,1.578320428826683,,,,1.0
subregio,roni,La Nina,El Nino,episodi_calid_i_sec,146,138,1,3,0.684931506849315,2.1739130434782608,1.4889815366289458,0.5751246598493306,1.4889815366289458,Llevant_Iberic,,,1.0
subregio,roni,La Nina,El Nino,mes_molt_fred,146,138,36,36,24.65753424657534,26.08695652173913,1.4294222751637886,0.8884218910576814,1.4294222751637886,Golf_Lleo,,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,45,24,5,3,11.11111111111111,12.5,1.3888888888888895,1.0,1.3888888888888895,Catalunya_Balears,,2011-2020,1.0
subregio,roni,La Nina,El Nino,mes_molt_fred,146,138,22,19,15.068493150684931,13.768115942028986,-1.300377208655945,0.8864997591328335,1.300377208655945,Llevant_Iberic,,,1.0
periode,roni,La Nina,El Nino,episodi_calid_i_sol_sec,120,136,2,4,1.6666666666666667,2.941176470588235,1.2745098039215685,0.7958631186091831,1.2745098039215685,,,1981-1990,1.0
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,35,29,2,2,5.714285714285714,6.896551724137931,1.1822660098522169,1.0,1.1822660098522169,Golf_Lleo,,2001-2010,1.0
estacio,roni,La Nina,El Nino,episodi_calid_i_sec,136,120,5,3,3.6764705882352944,2.5,-1.1764705882352942,0.8571862281390856,1.1764705882352942,,Spring,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_sec,34,30,3,3,8.823529411764707,10.0,1.1764705882352942,1.0,1.1764705882352942,Mediterrani_Central_Occidental,Spring,,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,36,51,1,2,2.7777777777777777,3.9215686274509802,1.1437908496732028,1.0,1.1437908496732028,Golf_Lleo,,1991-2000,1.0
global,roni,La Nina,El Nino,mes_molt_sec,584,552,59,62,10.102739726027398,11.231884057971014,1.129144331943617,0.6028086734092126,1.129144331943617,,,,1.0
periode,roni,La Nina,El Nino,episodi_fred_i_humit,180,96,2,0,1.1111111111111112,0.0,-1.1111111111111112,0.7706445145339009,1.1111111111111112,,,2011-2020,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_sec,46,40,12,10,26.08695652173913,25.0,-1.0869565217391297,1.0,1.0869565217391297,Catalunya_Balears,Winter,,1.0
subregio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,146,138,8,9,5.47945205479452,6.521739130434782,1.0422870756402622,0.9046164043827037,1.0422870756402622,Llevant_Iberic,,,1.0
subregio,roni,La Nina,El Nino,episodi_fred_i_humit,146,138,8,9,5.47945205479452,6.521739130434782,1.0422870756402622,0.9046164043827037,1.0422870756402622,Golf_Lleo,,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_fred,35,29,10,8,28.57142857142857,27.586206896551722,-0.9852216748768461,1.0,0.9852216748768461,Golf_Lleo,,2001-2010,1.0
global,roni,La Nina,El Nino,sol_molt_sec,584,552,151,148,25.85616438356164,26.811594202898554,0.9554298193369115,0.7656412270002555,0.9554298193369115,,,,1.0
global,roni,La Nina,El Nino,mes_molt_fred,584,552,94,94,16.095890410958905,17.02898550724638,0.9330950962874729,0.7315236957300549,0.9330950962874729,,,,1.0
periode,roni,La Nina,El Nino,episodi_calid_i_sec,120,136,2,1,1.6666666666666667,0.7352941176470588,-0.9313725490196079,0.9131180921790348,0.9313725490196079,,,1981-1990,1.0
periode,roni,La Nina,El Nino,episodi_fred_i_humit,140,116,6,4,4.285714285714286,3.4482758620689653,-0.8374384236453203,0.9838430351077074,0.8374384236453203,,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,36,51,1,1,2.7777777777777777,1.9607843137254901,-0.8169934640522875,1.0,0.8169934640522875,Llevant_Iberic,,1991-2000,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sol_sec,36,51,1,1,2.7777777777777777,1.9607843137254901,-0.8169934640522875,1.0,0.8169934640522875,Mediterrani_Central_Occidental,,1991-2000,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,46,40,10,9,21.73913043478261,22.5,0.7608695652173925,1.0,0.7608695652173925,Catalunya_Balears,Winter,,1.0
subregio,roni,La Nina,El Nino,sol_molt_humit,146,138,36,33,24.65753424657534,23.91304347826087,-0.7444907683144708,0.9937780707202243,0.7444907683144708,Golf_Lleo,,,1.0
global,roni,La Nina,El Nino,episodi_fred_i_humit,584,552,22,17,3.767123287671233,3.0797101449275366,-0.6874131427436962,0.636233651282095,0.6874131427436962,,,,1.0
estacio,roni,La Nina,El Nino,episodi_fred_i_humit,184,160,7,5,3.804347826086957,3.125,-0.6793478260869568,0.9617543246044122,0.6793478260869568,,Winter,,1.0
subregio,roni,La Nina,El Nino,mes_molt_fred,146,138,17,17,11.643835616438356,12.318840579710146,0.67500496327179,1.0,0.67500496327179,Mediterrani_Central_Occidental,,,1.0
subregio_periode,roni,La Nina,El Nino,sol_molt_humit,36,51,8,11,22.22222222222222,21.568627450980394,-0.6535947712418277,1.0,0.6535947712418277,Catalunya_Balears,,1991-2000,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,46,40,2,2,4.3478260869565215,5.0,0.6521739130434787,1.0,0.6521739130434787,Catalunya_Balears,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,39,37,15,14,38.46153846153847,37.83783783783784,-0.6237006237006237,1.0,0.6237006237006237,Mediterrani_Central_Occidental,Autumn,,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,27,31,8,9,29.629629629629626,29.03225806451613,-0.597371565113497,1.0,0.597371565113497,Catalunya_Balears,Summer,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_sec,35,29,1,1,2.857142857142857,3.4482758620689653,0.5911330049261084,1.0,0.5911330049261084,Mediterrani_Central_Occidental,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sol_sec,35,29,1,1,2.857142857142857,3.4482758620689653,0.5911330049261084,1.0,0.5911330049261084,Mediterrani_Central_Occidental,,2001-2010,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_sec,39,37,4,4,10.256410256410255,10.81081081081081,0.5544005544005554,1.0,0.5544005544005554,Llevant_Iberic,Autumn,,1.0
subregio,roni,La Nina,El Nino,episodi_fred_i_humit,146,138,5,4,3.4246575342465753,2.898550724637681,-0.526106809608894,1.0,0.526106809608894,Catalunya_Balears,,,1.0
subregio,roni,La Nina,El Nino,mes_molt_sec,146,138,31,30,21.232876712328768,21.73913043478261,0.5062537224538421,1.0,0.5062537224538421,Golf_Lleo,,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,27,31,1,1,3.7037037037037033,3.225806451612903,-0.47789725209080036,1.0,0.47789725209080036,Llevant_Iberic,Summer,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,27,31,1,1,3.7037037037037033,3.225806451612903,-0.47789725209080036,1.0,0.47789725209080036,Llevant_Iberic,Summer,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_sec,27,31,1,1,3.7037037037037033,3.225806451612903,-0.47789725209080036,1.0,0.47789725209080036,Golf_Lleo,Summer,,1.0
subregio,roni,La Nina,El Nino,mes_molt_sec,146,138,12,12,8.21917808219178,8.695652173913043,0.47647409172126287,1.0,0.47647409172126287,Mediterrani_Central_Occidental,,,1.0
periode,roni,La Nina,El Nino,episodi_calid_i_sol_sec,144,204,5,8,3.4722222222222223,3.9215686274509802,0.44934640522875796,1.0,0.44934640522875796,,,1991-2000,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,39,37,3,3,7.6923076923076925,8.108108108108109,0.4158004158004158,1.0,0.4158004158004158,Llevant_Iberic,Autumn,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,39,37,3,3,7.6923076923076925,8.108108108108109,0.4158004158004158,1.0,0.4158004158004158,Golf_Lleo,Autumn,,1.0
subregio,roni,La Nina,El Nino,episodi_calid_i_sec,146,138,9,9,6.164383561643835,6.521739130434782,0.35735556879094715,1.0,0.35735556879094715,Golf_Lleo,,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_sec,36,51,2,3,5.555555555555555,5.88235294117647,0.32679738562091526,1.0,0.32679738562091526,Llevant_Iberic,,1991-2000,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,36,51,2,3,5.555555555555555,5.88235294117647,0.32679738562091526,1.0,0.32679738562091526,Catalunya_Balears,,1991-2000,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_sec,36,51,2,3,5.555555555555555,5.88235294117647,0.32679738562091526,1.0,0.32679738562091526,Mediterrani_Central_Occidental,,1991-2000,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,46,40,1,1,2.1739130434782608,2.5,0.32608695652173936,1.0,0.32608695652173936,Llevant_Iberic,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,46,40,1,1,2.1739130434782608,2.5,0.32608695652173936,1.0,0.32608695652173936,Llevant_Iberic,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,46,40,1,1,2.1739130434782608,2.5,0.32608695652173936,1.0,0.32608695652173936,Golf_Lleo,Winter,,1.0
estacio,roni,La Nina,El Nino,mes_molt_humit,184,160,27,24,14.673913043478262,15.0,0.32608695652173725,1.0,0.32608695652173725,,Winter,,1.0
subregio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,146,138,8,8,5.47945205479452,5.797101449275362,0.3176493944808422,1.0,0.3176493944808422,Golf_Lleo,,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,39,37,2,2,5.128205128205128,5.405405405405405,0.2772002772002777,1.0,0.2772002772002777,Golf_Lleo,Autumn,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,30,34,7,8,23.333333333333332,23.52941176470588,0.19607843137254832,1.0,0.19607843137254832,Golf_Lleo,,1981-1990,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_calid,36,51,5,7,13.88888888888889,13.725490196078432,-0.16339869281045694,1.0,0.16339869281045694,Llevant_Iberic,,1991-2000,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,39,37,1,1,2.564102564102564,2.7027027027027026,0.13860013860013884,1.0,0.13860013860013884,Mediterrani_Central_Occidental,Autumn,,1.0
periode,roni,La Nina,El Nino,episodi_calid_i_sec,144,204,3,4,2.083333333333333,1.9607843137254901,-0.12254901960784305,1.0,0.12254901960784305,,,1991-2000,1.0
estacio,roni,La Nina,El Nino,mes_molt_sec,108,124,1,1,0.9259259259259258,0.8064516129032258,-0.11947431302270009,1.0,0.11947431302270009,,Summer,,1.0
subregio,roni,La Nina,El Nino,episodi_fred_i_humit,146,138,3,3,2.054794520547945,2.1739130434782608,0.11911852293031572,1.0,0.11911852293031572,Llevant_Iberic,,,1.0
estacio,roni,La Nina,El Nino,episodi_fred_i_humit,156,148,3,3,1.9230769230769231,2.027027027027027,0.10395010395010396,1.0,0.10395010395010396,,Autumn,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,35,29,6,5,17.142857142857142,17.24137931034483,0.09852216748768572,1.0,0.09852216748768572,Mediterrani_Central_Occidental,,2001-2010,1.0
subregio,roni,La Nina,El Nino,mes_molt_calid,146,138,20,19,13.698630136986301,13.768115942028986,0.06948580504268498,1.0,0.06948580504268498,Catalunya_Balears,,,1.0
periode,roni,La Nina,El Nino,mes_molt_humit,180,96,28,15,15.555555555555555,15.625,0.0694444444444442,1.0,0.0694444444444442,,,2011-2020,1.0
subregio,roni,La Nina,El Nino,mes_molt_humit,146,138,17,16,11.643835616438356,11.594202898550725,-0.04963271788763074,1.0,0.04963271788763074,Catalunya_Balears,,,1.0
estacio,roni,La Nina,El Nino,episodi_calid_i_sec,108,124,0,0,0.0,0.0,0.0,,0.0,,Summer,,
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,45,24,0,0,0.0,0.0,0.0,,0.0,Llevant_Iberic,,2011-2020,
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,45,24,0,0,0.0,0.0,0.0,,0.0,Golf_Lleo,,2011-2020,
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,39,37,0,0,0.0,0.0,0.0,,0.0,Catalunya_Balears,Autumn,,
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,36,51,0,0,0.0,0.0,0.0,,0.0,Mediterrani_Central_Occidental,,1991-2000,
subregio_estacio,roni,La Nina,El Nino,mes_molt_sec,34,30,0,0,0.0,0.0,0.0,,0.0,Llevant_Iberic,Spring,,
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,34,30,0,0,0.0,0.0,0.0,,0.0,Llevant_Iberic,Spring,,
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,34,30,0,0,0.0,0.0,0.0,,0.0,Mediterrani_Central_Occidental,Spring,,
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,30,34,0,0,0.0,0.0,0.0,,0.0,Llevant_Iberic,,1981-1990,
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,30,34,0,0,0.0,0.0,0.0,,0.0,Catalunya_Balears,,1981-1990,
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,30,34,0,0,0.0,0.0,0.0,,0.0,Mediterrani_Central_Occidental,,1981-1990,
subregio_estacio,roni,La Nina,El Nino,mes_molt_sec,27,31,0,0,0.0,0.0,0.0,,0.0,Llevant_Iberic,Summer,,
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,27,31,0,0,0.0,0.0,0.0,,0.0,Llevant_Iberic,Summer,,
subregio_estacio,roni,La Nina,El Nino,mes_molt_sec,27,31,0,0,0.0,0.0,0.0,,0.0,Catalunya_Balears,Summer,,
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,27,31,0,0,0.0,0.0,0.0,,0.0,Catalunya_Balears,Summer,,
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,27,31,0,0,0.0,0.0,0.0,,0.0,Golf_Lleo,Summer,,
subregio_estacio,roni,La Nina,El Nino,mes_molt_sec,27,31,0,0,0.0,0.0,0.0,,0.0,Mediterrani_Central_Occidental,Summer,,
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,27,31,0,0,0.0,0.0,0.0,,0.0,Mediterrani_Central_Occidental,Summer,,
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sec,27,31,0,0,0.0,0.0,0.0,,0.0,Mediterrani_Central_Occidental,Summer,,
subregio_estacio,roni,La Nina,El Nino,episodi_fred_i_humit,27,31,0,0,0.0,0.0,0.0,,0.0,Mediterrani_Central_Occidental,Summer,,
