target,term,coef_logit,odds_ratio,p_value,or_ci_low,or_ci_high,pseudo_r2,n,q_fdr
mes_molt_sec,Intercept,-2.8320182910503733,0.05889386866860141,1.4112871472709306e-21,0.0329168051009765,0.10537133710621194,0.13554831470018047,1920,2.5873597699967063e-20
mes_molt_sec,C(subregio)[T.Catalunya_Balears],0.8404921379268726,2.317507229380682,0.004520087896232227,1.297343589781846,4.1398745872208425,0.13554831470018047,1920,0.011838325442512976
mes_molt_sec,C(subregio)[T.Golf_Lleo],1.9283347904170363,6.878047309845791,1.025582828442847e-12,4.047236706945713,11.688848026924031,0.13554831470018047,1920,9.401175927392764e-12
mes_molt_sec,C(subregio)[T.Mediterrani_Central_Occidental],0.8970867024699737,2.4524479830575245,0.0022723963290793075,1.3785153960591932,4.3630278826023785,0.13554831470018047,1920,0.006577989373650627
mes_molt_sec,C(estacio)[T.Spring],-0.34296848147192394,0.7096605786645908,0.11209929614358238,0.4648449335684303,1.0834110485930977,0.13554831470018047,1920,0.18988561616800348
mes_molt_sec,C(estacio)[T.Summer],-2.4611831085229405,0.08533393191870689,1.7180018559694303e-08,0.036270895630727676,0.20076372005927257,0.13554831470018047,1920,1.1811262759789833e-07
mes_molt_sec,C(estacio)[T.Autumn],0.4421486499016797,1.556047029481076,0.019776704811069905,1.0728388340183783,2.2568929098957304,0.13554831470018047,1920,0.04350875058435379
mes_molt_sec,C(periode)[T.1991-2000],-0.31643656482163285,0.7287412379239913,0.15174572118127197,0.47278271153068185,1.1232724439766812,0.13554831470018047,1920,0.23183374069360996
mes_molt_sec,C(periode)[T.2001-2010],-0.4477852228870407,0.6390419208725474,0.04884832497023604,0.4092991880587434,0.9977409888579218,0.13554831470018047,1920,0.09950584716159193
mes_molt_sec,C(periode)[T.2011-2020],-0.17633585292058482,0.8383363783296944,0.41538702979707853,0.5484354057305206,1.2814779569068895,0.13554831470018047,1920,0.49665840519215915
mes_molt_sec,roni,0.037109423229989134,1.0378065747728402,0.6478246875931251,0.8850434718782119,1.2169373831503085,0.13554831470018047,1920,0.6851991888004207
mes_molt_calid,Intercept,-2.3100156176619735,0.09925970134307714,2.0693604903751946e-24,0.06366796909147773,0.15474795963038931,0.08587816319576247,1920,1.138148269706357e-22
mes_molt_calid,C(subregio)[T.Catalunya_Balears],-0.0350599406146614,0.9655475390100119,0.851478066266897,0.668934347708595,1.3936824342804064,0.08587816319576247,1920,0.8672461786051728
mes_molt_calid,C(subregio)[T.Golf_Lleo],0.574029840478705,1.775407262868442,0.000955016594691671,1.2629542664438476,2.4957918372780274,0.08587816319576247,1920,0.003035107309489393
mes_molt_calid,C(subregio)[T.Mediterrani_Central_Occidental],-0.1075542264652096,0.8980278242558798,0.5702113459065198,0.6194922932142408,1.3017982337656797,0.08587816319576247,1920,0.6235806700241346
mes_molt_calid,C(estacio)[T.Spring],-0.6501769472785437,0.5219534103537762,0.0004033796922852832,0.36408323290766403,0.7482776957460998,0.08587816319576247,1920,0.0017066063904377367
mes_molt_calid,C(estacio)[T.Summer],-0.430593587414305,0.6501230752912704,0.01460914213484413,0.4601507687300693,0.9185250612373029,0.08587816319576247,1920,0.033479284059017796
mes_molt_calid,C(estacio)[T.Autumn],-0.2178922304651146,0.8042121065612314,0.20028634038859106,0.5761761828194447,1.1224988668827474,0.08587816319576247,1920,0.2861558706931493
mes_molt_calid,C(periode)[T.1991-2000],0.36416997082760194,1.4393188355818713,0.10147000892401868,0.930863552106455,2.2255020145249365,0.08587816319576247,1920,0.18602834969403423
mes_molt_calid,C(periode)[T.2001-2010],0.8453712517776567,2.3288422409222207,6.040966764033268e-05,1.5408035067741377,3.5199207162102133,0.08587816319576247,1920,0.00033225317202182974
mes_molt_calid,C(periode)[T.2011-2020],1.7479780893053196,5.7429791381491,1.070090481193744e-18,3.895714708413167,8.46617677367093,0.08587816319576247,1920,1.471374411641398e-17
mes_molt_calid,roni,0.23214323340661583,1.2613003762403032,0.000993307846741983,1.0985038684952013,1.4482230647792025,0.08587816319576247,1920,0.003035107309489393
sol_molt_sec,Intercept,-1.0791149945186287,0.33989620257732567,1.160116237561889e-10,0.24480142677466896,0.4719311894894598,0.01645604133304912,1920,9.115199009414842e-10
sol_molt_sec,C(subregio)[T.Catalunya_Balears],-0.21906162644835717,0.8032722138146525,0.12995327993066266,0.6049578590793112,1.0665970196150467,0.01645604133304912,1920,0.21021854106430723
sol_molt_sec,C(subregio)[T.Golf_Lleo],-0.5392776516167526,0.583169351703832,0.0003697770686917239,0.4333913488884489,0.7847099247341066,0.01645604133304912,1920,0.001694811564837068
sol_molt_sec,C(subregio)[T.Mediterrani_Central_Occidental],-0.27453236010003695,0.7599274125239395,0.059496183909859404,0.5711765548727837,1.0110528301252701,0.01645604133304912,1920,0.1168675041086524
sol_molt_sec,C(estacio)[T.Spring],0.36766567472850104,1.4443590725053725,0.01298702514299773,1.0806676229425751,1.9304484432022586,0.01645604133304912,1920,0.03105592968977718
sol_molt_sec,C(estacio)[T.Summer],-0.20218130854639968,0.8169467950778638,0.20291052649150587,0.5984609443362882,1.1151973613385298,0.01645604133304912,1920,0.2861558706931493
sol_molt_sec,C(estacio)[T.Autumn],0.3386645608929107,1.4030726208403421,0.022499440566255687,1.0489299667383947,1.8767819032505175,0.01645604133304912,1920,0.047594970428617794
sol_molt_sec,C(periode)[T.1991-2000],0.1076285907821237,1.1136340546137156,0.4789889812806041,0.8266693996128637,1.500213759183745,0.01645604133304912,1920,0.5488415410506922
sol_molt_sec,C(periode)[T.2001-2010],0.10904968949275318,1.1152177635696898,0.4730439498105601,0.8279338039309367,1.5021861098995866,0.01645604133304912,1920,0.5488415410506922
sol_molt_sec,C(periode)[T.2011-2020],0.2372438559150363,1.267750228476518,0.11393136970080209,0.9446786292065212,1.7013094105370168,0.01645604133304912,1920,0.18988561616800348
sol_molt_sec,roni,-0.03854011775883525,0.9621931029346573,0.5127981642232595,0.8573109733983442,1.0799063537763087,0.01645604133304912,1920,0.5755897761689648
episodi_calid_i_sec,Intercept,-4.680253810944142,0.009276659070641093,7.721771344813723e-18,0.0031941197594767545,0.026942134294615495,0.12091192477888513,1920,8.493948479295096e-17
episodi_calid_i_sec,C(subregio)[T.Catalunya_Balears],0.641372077779987,1.8990847845513719,0.17847589292376598,0.7460756531950803,4.833991034916554,0.12091192477888513,1920,0.2653020029947873
episodi_calid_i_sec,C(subregio)[T.Golf_Lleo],1.6484120412118195,5.198717919324104,0.00010622097715974703,2.258833686857632,11.96487734442264,0.12091192477888513,1920,0.0005311048857987352
episodi_calid_i_sec,C(subregio)[T.Mediterrani_Central_Occidental],0.46686000346745365,1.594978096383279,0.3418160175492331,0.6091216360455007,4.176432057902468,0.12091192477888513,1920,0.4372065340746005
episodi_calid_i_sec,C(estacio)[T.Spring],-0.34897265031299274,0.7054124228151056,0.3031801264970133,0.36303407044528097,1.3706886674618057,0.12091192477888513,1920,0.39702159422227934
episodi_calid_i_sec,C(estacio)[T.Summer],-2.487458690285911,0.08312093443241712,0.0008166159740103383,0.019369771156270966,0.3566944433765996,0.12091192477888513,1920,0.0028589955143008233
episodi_calid_i_sec,C(estacio)[T.Autumn],0.0007862673265137863,1.000786576515698,0.9979663838720358,0.5467067768840616,1.832012724339087,0.12091192477888513,1920,0.9979663838720358
episodi_calid_i_sec,C(periode)[T.1991-2000],0.5480272380756559,1.7298370928197655,0.2270475772786772,0.7109591588270772,4.208872381124987,0.12091192477888513,1920,0.3045760183006645
episodi_calid_i_sec,C(periode)[T.2001-2010],0.7368922346169086,2.0894319496684397,0.10130424547899788,0.8654204275669376,5.044630024009436,0.12091192477888513,1920,0.18602834969403423
episodi_calid_i_sec,C(periode)[T.2011-2020],1.3913704806399,4.020356099367115,0.0008317077859784213,1.7778172754129509,9.091633538077733,0.12091192477888513,1920,0.0028589955143008233
episodi_calid_i_sec,roni,0.33103315587308413,1.3924059579780828,0.012334661107049357,1.0743965681390457,1.8045425770216614,0.12091192477888513,1920,0.030836652767623395
episodi_calid_i_sol_sec,Intercept,-3.903387752975855,0.02017345287590299,3.081583595086766e-23,0.009336457735040481,0.04358914402931361,0.07065736072146978,1920,8.474354886488607e-22
episodi_calid_i_sol_sec,C(subregio)[T.Catalunya_Balears],-0.2475717627097466,0.7806941940697845,0.3537443185154132,0.4626350707927247,1.3174172541868068,0.07065736072146978,1920,0.4421803981442665
episodi_calid_i_sol_sec,C(subregio)[T.Golf_Lleo],-0.10010839664713818,0.9047393420092915,0.6985541034705152,0.5451193047404992,1.5016039055323371,0.07065736072146978,1920,0.7249146356769497
episodi_calid_i_sol_sec,C(subregio)[T.Mediterrani_Central_Occidental],-0.41558411367960374,0.6599546795422503,0.1347638313115747,0.38281254835360956,1.1377374668695537,0.07065736072146978,1920,0.21177173491818882
episodi_calid_i_sol_sec,C(estacio)[T.Spring],0.3572031776461594,1.4293262474963153,0.20838537270509794,0.8192945940113748,2.4935762260791066,0.07065736072146978,1920,0.28652988746950964
episodi_calid_i_sol_sec,C(estacio)[T.Summer],0.4457691125720309,1.5616908501207807,0.1099294881895531,0.9041165911367638,2.6975263315149616,0.07065736072146978,1920,0.18988561616800348
episodi_calid_i_sol_sec,C(estacio)[T.Autumn],0.16168287388390828,1.1754874044508818,0.5782293485678339,0.6647823428522136,2.0785308949305974,0.07065736072146978,1920,0.6235806700241346
episodi_calid_i_sol_sec,C(periode)[T.1991-2000],0.3411049425410325,1.4065008348891652,0.3918361572617225,0.6442626178227855,3.07055623563754,0.07065736072146978,1920,0.47891085887543855
episodi_calid_i_sol_sec,C(periode)[T.2001-2010],1.2208669329400141,3.3901254714684836,0.0006170076828483531,1.6854360122255252,6.818977777224306,0.07065736072146978,1920,0.0024239587540471016
episodi_calid_i_sol_sec,C(periode)[T.2011-2020],1.8794307920764586,6.549775616755336,2.6967163531991412e-08,3.376763653963514,12.704342093794132,0.07065736072146978,1920,1.6479933269550307e-07
episodi_calid_i_sol_sec,roni,0.33773930402748875,1.4017750186654576,0.002739789679038145,1.1238461657865764,1.7484360963043957,0.07065736072146978,1920,0.0075344216173548985
