ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.5553979860046345,4.5884687189621797e-11,-0.5330948867892693,3.6529920812298643e-10,0.5553979860046345,0.5330948867892693,Mediterrani_Central_Occidental,Winter,,1.429142716318764e-09,1.1475367794439364e-08
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.5232421534779567,8.713443640455958e-10,-0.5260074660051469,6.846152555575461e-10,0.5232421534779567,0.5260074660051469,Catalunya_Balears,Winter,,2.273072254031989e-08,2.0135742810516063e-08
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.5113417228285411,2.4009651251472823e-09,-0.50567583999288,3.8378872335425765e-09,0.5113417228285411,0.50567583999288,Mediterrani_Central_Occidental,Winter,,5.952806095406485e-08,9.716170211500194e-08
subregio_estacio,wemo,anomalia_temperatura,120,-0.5078851344979177,3.1996567903205507e-09,-0.4642430515869167,9.253362526845422e-08,0.5078851344979177,0.4642430515869167,Golf_Lleo,Spring,,7.804040952001344e-08,1.9079097993495714e-06
subregio_estacio,wemo,anomalia_precipitacio_mensual_mm,120,-0.5046827134960605,4.163098596330101e-09,-0.5091346006077149,2.8852381216298384e-09,0.5046827134960605,0.5091346006077149,Llevant_Iberic,Winter,,9.83409117243331e-08,7.46182272835303e-08
subregio_estacio,wemo,anomalia_sst,120,-0.5024144583270509,5.008111223982443e-09,-0.4738107766200401,4.604572630289861e-08,0.5024144583270509,0.4738107766200401,Mediterrani_Central_Occidental,Autumn,,1.1578376125313638e-07,9.902306731806152e-07
subregio_estacio,wemo,anomalia_sst,120,-0.49187507340497877,1.1614692534835118e-08,-0.44570035595852897,3.3731185861218746e-07,0.49187507340497877,0.44570035595852897,Catalunya_Balears,Autumn,,2.5715186423989194e-07,6.2081937167887255e-06
subregio_estacio,wemo,anomalia_temperatura,120,-0.46891763522080976,6.59725198331477e-08,-0.44021370189488623,4.874933898423071e-07,0.46891763522080976,0.44021370189488623,Mediterrani_Central_Occidental,Autumn,,1.2621973427084214e-06,8.653728813768765e-06
estacio,wemo,anomalia_sst,480,-0.46833614530333084,1.5376088408249074e-27,-0.43954177597327065,4.292753365755421e-24,0.46833614530333084,0.43954177597327065,,Autumn,,2.250159279255962e-25,5.488086938369011e-22
subregio_estacio,wemo,anomalia_sst,120,-0.4570885342543747,1.538103236247025e-07,-0.43397697360482157,7.351870109669696e-07,0.4570885342543747,0.43397697360482157,Golf_Lleo,Autumn,,2.754811766412582e-06,1.2287248094155482e-05
estacio,nao,anomalia_precipitacio_mensual_mm,480,-0.45586082920649684,5.249497910278235e-26,-0.4603847870745505,1.483820826093133e-26,0.45586082920649684,0.4603847870745505,,Winter,,6.999330547037647e-24,2.2828012709125126e-24
subregio_estacio,wemo,anomalia_temperatura,120,-0.45547953328024626,1.7215754135290807e-07,-0.4359528635809055,6.460309579035004e-07,0.45547953328024626,0.4359528635809055,Catalunya_Balears,Autumn,,3.047036130139966e-06,1.1074816421202864e-05
subregio_estacio,wemo,anomalia_humitat_sol_capa1,120,-0.4475702442722401,2.970848782283299e-07,-0.43690163266941967,6.069709938732452e-07,0.4475702442722401,0.43690163266941967,Llevant_Iberic,Winter,,5.107476416532892e-06,1.0465017135745607e-05
subregio_estacio,nao,anomalia_temperatura,120,0.444285315170101,3.7114954100594004e-07,0.41421998443607905,2.5625636281860495e-06,0.444285315170101,0.41421998443607905,Golf_Lleo,Winter,,6.203056395642453e-06,3.731888778911723e-05
subregio_estacio,wemo,anomalia_sst,120,-0.43800998161002747,5.641864539910848e-07,-0.41483619056760734,2.4676055485257996e-06,0.43800998161002747,0.41483619056760734,Llevant_Iberic,Autumn,,9.075385318891445e-06,3.637747737384471e-05
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.43378101121141366,7.446406508223741e-07,-0.4200225714670778,1.7904307261141302e-06,0.43378101121141366,0.4200225714670778,Catalunya_Balears,Winter,,1.1757483960353276e-05,2.7615898089163962e-05
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.4256402079241669,1.257231098334452e-06,-0.44468790700339395,3.6120683994669406e-07,0.4256402079241669,0.44468790700339395,Llevant_Iberic,Winter,,1.8764643258723165e-05,6.587358783222384e-06
subregio_estacio,wemo,anomalia_sst,120,-0.416119005821173,2.2805108372031637e-06,-0.3868362203373452,1.2748469915323605e-05,0.416119005821173,0.3868362203373452,Golf_Lleo,Spring,,3.27346053187057e-05,0.00015935587394154505
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.415113749992907,2.4259313490931995e-06,-0.3864293776083812,1.3042202628933231e-05,0.415113749992907,0.3864293776083812,Golf_Lleo,Winter,,3.457384345500997e-05,0.00016268859828191142
subregio_estacio,wemo,anomalia_temperatura,120,-0.4088812147993986,3.543241213978254e-06,-0.40221618784012,5.2689136551122045e-06,0.4088812147993986,0.40221618784012,Catalunya_Balears,Spring,,4.955582117452104e-05,7.181791241316142e-05
estacio,wemo,anomalia_temperatura,480,-0.4032528249788381,3.398330095750434e-20,-0.39096823779318746,5.581357218899645e-19,0.4032528249788381,0.39096823779318746,,Autumn,,2.718664076600347e-18,4.034716061855165e-17
subregio_estacio,wemo,anomalia_precipitacio_mensual_mm,120,-0.4028149793313254,5.086169455299536e-06,-0.4438598960511045,3.8193907811335994e-07,0.4028149793313254,0.4438598960511045,Llevant_Iberic,Autumn,,6.857756568943195e-05,6.902513459879999e-06
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.40242404416593947,5.2047863398557746e-06,-0.38717798696200306,1.2506547848726786e-05,0.40242404416593947,0.38717798696200306,Golf_Lleo,Spring,,6.986290389068153e-05,0.00015698595626016884
subregio_estacio,wemo,anomalia_temperatura,120,-0.39917518846536987,6.2968056657465275e-06,-0.3844581843975147,1.4557861900894556e-05,0.39917518846536987,0.3844581843975147,Golf_Lleo,Autumn,,8.30347999878663e-05,0.0001786240724036142
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.394782971137671,8.120338522784383e-06,-0.36399877081294635,4.374057631853383e-05,0.394782971137671,0.36399877081294635,Mediterrani_Central_Occidental,Autumn,,0.00010344380283801762,0.0004720206077539622
subregio_estacio,wemo,anomalia_sst,120,-0.38926941440023627,1.1117767380396922e-05,-0.345505813198482,0.00011111954596432151,0.38926941440023627,0.345505813198482,Catalunya_Balears,Spring,,0.00013810891155772572,0.0010566042405482235
estacio,nao,anomalia_humitat_sol_capa1,480,-0.38715755176373123,1.2988498875346118e-18,-0.40594498450008304,1.8116081327918295e-20,0.38715755176373123,0.40594498450008304,,Winter,,8.756291376637833e-17,1.4688714590204022e-18
subregio_estacio,wemo,anomalia_temperatura,120,-0.38585449176396436,1.3468141061725977e-05,-0.3849054770698937,1.4200056810671349e-05,0.38585449176396436,0.3849054770698937,Mediterrani_Central_Occidental,Spring,,0.0001632501946875876,0.0001745908624262871
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.38300812021487196,1.5777052705553838e-05,-0.3810434934162333,1.7582699718630055e-05,0.38300812021487196,0.3810434934162333,Golf_Lleo,Winter,,0.00018819545970839567,0.0002126939482092345
subregio_estacio,wemo,anomalia_precipitacio_mensual_mm,120,-0.38004671740357454,1.8571480377220965e-05,-0.3723465211856975,2.817154705107518e-05,0.38004671740357454,0.3723465211856975,Catalunya_Balears,Winter,,0.00021518578908044395,0.0003225749662336853
subregio_estacio,wemo,anomalia_sst,120,-0.37655875654117366,2.245868398717925e-05,-0.3582292724285942,5.887017108475652e-05,0.37655875654117366,0.3582292724285942,Mediterrani_Central_Occidental,Spring,,0.0002528182062346632,0.0006079473169953253
estacio,wemo,anomalia_temperatura,480,-0.3750034979413447,1.786289264221039e-17,-0.35638849973127906,8.03434956085503e-16,0.3750034979413447,0.35638849973127906,,Spring,,1.0825995540733568e-15,4.46352753380835e-14
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.3738510937211759,2.5990215321051943e-05,-0.3892267865916575,1.1144561720076095e-05,0.3738510937211759,0.3892267865916575,Golf_Lleo,Autumn,,0.0002892939146117008,0.00014196893910924961
subregio_estacio,wemo,anomalia_humitat_sol_capa1,120,-0.37307044450693383,2.7101398157815288e-05,-0.3959697402335752,7.583759233386666e-06,0.37307044450693383,0.3959697402335752,Llevant_Iberic,Autumn,,0.0002994629630697822,9.91341076259695e-05
subregio_estacio,nao,anomalia_sst,120,0.37137986574175824,2.9662434039215496e-05,0.3399982637894197,0.00014508170576485414,0.37137986574175824,0.3399982637894197,Catalunya_Balears,Winter,,0.00032241776129582063,0.0013392157455217307
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.36444445345390564,4.2738145573775354e-05,-0.36174856376207165,4.914674755015116e-05,0.36444445345390564,0.36174856376207165,Catalunya_Balears,Autumn,,0.0004490873440326657,0.0005237664037316288
subregio_estacio,nao,anomalia_temperatura,120,0.35579779446980964,6.660841699943755e-05,0.3353259936230197,0.00018121476473802282,0.35579779446980964,0.3353259936230197,Golf_Lleo,Autumn,,0.00067737373219767,0.0016228187886987119
estacio,wemo,anomalia_sst,480,-0.3555043884985012,9.56759466479872e-16,-0.3178794988620927,9.88837123480375e-13,0.3555043884985012,0.3178794988620927,,Spring,,5.080138760070116e-14,4.2378733863444636e-11
subregio_estacio,wemo,anomalia_precipitacio_mensual_mm,120,-0.34969092908391863,9.04342683343967e-05,-0.32916394662181503,0.00024168416425932084,0.34969092908391863,0.32916394662181503,Llevant_Iberic,Spring,,0.0008654809597862998,0.0020834841746493176
subregio,nao,anomalia_precipitacio_mensual_mm,480,-0.34909259452261243,3.3407043033894624e-15,-0.30471864519965947,9.006996613380313e-12,0.34909259452261243,0.30471864519965947,Mediterrani_Central_Occidental,,,1.629611855311933e-13,3.4642294666847356e-10
subregio,wemo,anomalia_precipitacio_mensual_mm,480,-0.34250460135825556,1.172204435689122e-14,-0.3645722996692657,1.5541184590737679e-16,0.34250460135825556,0.3645722996692657,Llevant_Iberic,,,5.288140311379498e-13,9.515010973921029e-15
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.3422938456311945,0.0001298967915015954,-0.2512210325548321,0.005645060081929198,0.3422938456311945,0.2512210325548321,Catalunya_Balears,Spring,,0.0011953692469471968,0.030735354348071862
subregio,nao,anomalia_precipitacio_mensual_mm,480,-0.3396893251006935,1.9863882322352076e-14,-0.30708976261970616,6.098610034965205e-12,0.3396893251006935,0.30708976261970616,Catalunya_Balears,,,8.699510506139595e-13,2.4073460664336334e-10
estacio,nao,anomalia_precipitacio_mensual_mm,480,-0.3390347879235093,2.243814271833297e-14,-0.35147554400166753,2.1060195043282916e-15,0.3390347879235093,0.35147554400166753,,Autumn,,9.75571422536216e-13,1.118240444776084e-13
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.3369172006043875,0.0001680633927727817,-0.3336487559600992,0.00019610662496376402,0.3369172006043875,0.3336487559600992,Catalunya_Balears,Spring,,0.0015050453084129705,0.0017431699996779022
subregio_estacio,nao,anomalia_temperatura,120,0.3368542673571018,0.00016856623937654816,0.31842000178425733,0.00039362120686896757,0.3368542673571018,0.31842000178425733,Catalunya_Balears,Winter,,0.0015072987127560194,0.0031573893599115047
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.331433889651463,0.0002175135844741307,-0.3534978045755311,7.479358440494387e-05,0.331433889651463,0.3534978045755311,Golf_Lleo,Spring,,0.0018969207948325354,0.000739310554249857
subregio,nao,anomalia_precipitacio_mensual_mm,480,-0.3272944128209607,1.9018657775314971e-13,-0.3108347001777362,3.2706455817553998e-12,0.3272944128209607,0.3108347001777362,Golf_Lleo,,,7.658519909522808e-12,1.3532313260095887e-10
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.32443608398245366,0.00030021217651786457,-0.3229238649675042,0.00032153703042506497,0.32443608398245366,0.3229238649675042,Llevant_Iberic,Winter,,0.002470882111258145,0.0026355494297136475
subregio_estacio,nao,anomalia_sst,120,0.3212058168198788,0.0003474581387032747,0.27835055130508635,0.0020815872975581016,0.3212058168198788,0.27835055130508635,Golf_Lleo,Winter,,0.002802081763736086,0.013473056942123635
subregio_estacio,wemo,anomalia_temperatura,120,-0.3186955512950184,0.0003888150431911358,-0.30992650327855076,0.0005715567797166208,0.3186955512950184,0.30992650327855076,Llevant_Iberic,Autumn,,0.0030768578839209934,0.004442151137693944
estacio,nao,anomalia_temperatura,480,0.31791614329914675,9.82621915370263e-13,0.28789073574676005,1.2972067259544637e-10,0.31791614329914675,0.28789073574676005,,Winter,,3.803697736917147e-11,4.447565917558161e-09
estacio,nao,anomalia_precipitacio_mensual_mm,480,-0.31628638661805136,1.2996036475605322e-12,-0.27384115329711894,1.0545997250963818e-09,0.31628638661805136,0.27384115329711894,,Spring,,4.935203724913413e-11,2.9707034509757236e-08
estacio,nao,anomalia_sst,480,0.315764145046021,1.420901506264864e-12,0.29036861845082984,8.854452112990625e-11,0.315764145046021,0.29036861845082984,,Winter,,5.328380648493241e-11,3.125100745761397e-09
subregio_estacio,wemo,anomalia_precipitacio_mensual_mm,120,0.31303703943670863,0.0004992205531508783,0.3357340298268839,0.00017775418995496852,0.31303703943670863,0.3357340298268839,Golf_Lleo,Spring,,0.003825444851730868,0.0015989882154869733
global,nao,anomalia_precipitacio_mensual_mm,1920,-0.312271247814076,1.0754262783221323e-44,-0.2923121072798656,3.9068486458160304e-39,0.312271247814076,0.2923121072798656,,,,2.805459856492519e-42,9.767121614540076e-37
subregio_estacio,wemo,anomalia_temperatura,120,-0.30726240003065497,0.0006410421416289487,-0.303474475904976,0.0007532440675371602,0.30726240003065497,0.303474475904976,Golf_Lleo,Summer,,0.0047971166474076255,0.005565780539533845
subregio_estacio,nao,anomalia_sst,120,0.3072561249337568,0.0006412145918701526,0.30808924390441217,0.0006186879915375864,0.3072561249337568,0.30808924390441217,Llevant_Iberic,Winter,,0.0047971166474076255,0.004746966686989155
subregio_estacio,wemo,anomalia_humitat_sol_capa1,120,-0.3063449827474288,0.0006667112910577046,-0.34012452659411824,0.00014420536244222042,0.3063449827474288,0.34012452659411824,Catalunya_Balears,Winter,,0.004963111347824104,0.001337298569788752
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.2978172453549157,0.0009546107059749732,-0.2540997696615838,0.005102226464990765,0.2978172453549157,0.2540997696615838,Mediterrani_Central_Occidental,Spring,,0.006746365413250694,0.02822892018958697
subregio,nao,anomalia_temperatura,480,0.2976012567674413,2.8429900668480735e-11,0.25645270113781754,1.2013105543785038e-08,0.2976012567674413,0.25645270113781754,Golf_Lleo,,,9.220508324912671e-10,2.871658695725507e-07
subregio_estacio,wemo,anomalia_humitat_sol_capa1,120,-0.29240941841084983,0.0011919761884424719,-0.25817093338480285,0.0044140481010766655,0.29240941841084983,0.25817093338480285,Llevant_Iberic,Spring,,0.00812977035454777,0.024961629223807725
subregio,wemo,anomalia_humitat_sol_capa1,480,-0.2912405717267882,7.734206928595017e-11,-0.2831625276998388,2.6607543480803543e-10,0.2912405717267882,0.2831625276998388,Llevant_Iberic,,,2.379755978029236e-09,8.583078542194692e-09
subregio,wemo,anomalia_temperatura,480,-0.28852539931693777,1.1767505143503635e-10,-0.28012531768584337,4.1912631767838994e-10,0.28852539931693777,0.28012531768584337,Golf_Lleo,,,3.4780803379813703e-09,1.2896194390104307e-08
subregio_estacio,nao,anomalia_temperatura,120,0.2850972042586724,0.001598587133515223,0.27009082439812404,0.002850826680938047,0.2850972042586724,0.27009082439812404,Golf_Lleo,Spring,,0.010335692673589804,0.01741849295888827
estacio,nao,anomalia_humitat_sol_capa1,480,-0.28089353894598834,3.7381483287207876e-10,-0.27352472823143253,1.1040735926559526e-09,0.28089353894598834,0.27352472823143253,,Spring,,1.024150227046791e-08,3.081135607411961e-08
subregio_estacio,nao,anomalia_temperatura,120,0.2777832572202877,0.0021276879246260342,0.26154006428110965,0.003908660171544216,0.2777832572202877,0.26154006428110965,Mediterrani_Central_Occidental,Winter,,0.01318899636524418,0.02265889954518386
subregio_estacio,nao,anomalia_sst,120,0.27770174176730034,0.0021343876081284466,0.24250368959293775,0.0076157445924697675,0.27770174176730034,0.24250368959293775,Mediterrani_Central_Occidental,Winter,,0.013213266265971926,0.03902174855236431
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.27583762795520744,0.0022929035235196896,-0.2414597177091394,0.007888496611747545,0.27583762795520744,0.2414597177091394,Golf_Lleo,Autumn,,0.014023874761588317,0.040009281209201414
subregio,wemo,anomalia_sst,480,-0.2733059544632145,1.1395907732225994e-09,-0.23508497052290206,1.8861759880531088e-07,0.2733059544632145,0.23508497052290206,Golf_Lleo,,,2.922407417415929e-08,3.686337435934415e-06
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.27099492907074096,0.0027556431050850074,-0.24537674479769914,0.006907722416225279,0.27099492907074096,0.24537674479769914,Llevant_Iberic,Spring,,0.016353965015341292,0.03616608594882345
subregio,wemo,anomalia_sst,480,-0.26973402072666386,1.9034181019095355e-09,-0.24778986290794974,3.7836528728842296e-08,0.26973402072666386,0.24778986290794974,Mediterrani_Central_Occidental,,,4.738800253716686e-08,8.25524263174741e-07
global,wemo,anomalia_sst,1920,-0.25801303929034447,1.4248841462848494e-30,-0.22617070347868068,1.0789137404132206e-23,0.25801303929034447,0.22617070347868068,,,,2.442658536488313e-28,1.2214117815998724e-21
subregio,wemo,anomalia_temperatura,480,-0.2577832327100807,1.003429205879621e-08,-0.24842116595224784,3.48516490538352e-08,0.2577832327100807,0.24842116595224784,Catalunya_Balears,,,2.2381320577240616e-07,7.687863761875412e-07
subregio,wemo,anomalia_sst,480,-0.2567382710858287,1.1558863065617323e-08,-0.22102643333248845,1.006143191848888e-06,0.2567382710858287,0.22102643333248845,Catalunya_Balears,,,2.56863623680385e-07,1.6410960004327152e-05
subregio_estacio,wemo,anomalia_humitat_sol_capa1,120,0.2566727673217176,0.00465698891575381,0.27750614653798644,0.0021505413574905204,0.2566727673217176,0.27750614653798644,Golf_Lleo,Spring,,0.025081303475033408,0.013859557620776715
subregio_estacio,wemo,anomalia_precipitacio_mensual_mm,120,0.2562553704861943,0.004726768895568675,0.24560763836286095,0.0068534412819582545,0.2562553704861943,0.24560763836286095,Golf_Lleo,Summer,,0.02534460533816984,0.036007572409588025
subregio_estacio,nao,anomalia_temperatura,120,0.25618178573562783,0.004739167136921511,0.22147871250739085,0.015054931215721143,0.25618178573562783,0.22147871250739085,Catalunya_Balears,Autumn,,0.025365747387626286,0.06578993976280179
subregio,nao,anomalia_precipitacio_mensual_mm,480,-0.25402807906065455,1.6633119274705648e-08,-0.2502759901722886,2.7340405824297695e-08,0.25402807906065455,0.2502759901722886,Llevant_Iberic,,,3.551555717019e-07,6.143911421190493e-07
subregio,wemo,anomalia_temperatura,480,-0.25386019104987173,1.7010035346915505e-08,-0.24238211972838916,7.579457042631262e-08,0.25386019104987173,0.24238211972838916,Mediterrani_Central_Occidental,,,3.6191564567905327e-07,1.5681635260616406e-06
subregio_estacio,roni,anomalia_precipitacio_mensual_mm,120,0.2535213184023437,0.005207406270785093,0.18046306507669585,0.048563116255158585,0.2535213184023437,0.18046306507669585,Golf_Lleo,Summer,,0.027407401425184698,0.15540197201650746
subregio_estacio,nao,anomalia_temperatura,120,0.25249302753947567,0.005399163788404613,0.2247012312469151,0.01361161955124992,0.25249302753947567,0.2247012312469151,Llevant_Iberic,Spring,,0.028169550200371894,0.0609930674439877
estacio,nao,anomalia_temperatura,480,0.25233269965490207,2.0841354402339143e-08,0.22394408902955576,7.171254855351584e-07,0.25233269965490207,0.22394408902955576,,Autumn,,4.3876535583871883e-07,1.2018862886064107e-05
subregio_estacio,roni,anomalia_temperatura,120,0.24481903451158848,0.00704041110347563,0.2675883265220832,0.0031299339157923197,0.24481903451158848,0.2675883265220832,Mediterrani_Central_Occidental,Autumn,,0.03496892932189882,0.01891198740660012
subregio_estacio,nao,anomalia_sst,120,0.24329366626034743,0.0074149332871677395,0.1873783525697524,0.04042974957864052,0.24329366626034743,0.1873783525697524,Llevant_Iberic,Spring,,0.036496800429045476,0.1374382421936788
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.24165010388653735,0.00783812089269408,-0.20305340600748154,0.026129476559367364,0.24165010388653735,0.20305340600748154,Mediterrani_Central_Occidental,Spring,,0.03823473606192235,0.0999215164794163
subregio_estacio,wemo,anomalia_humitat_sol_capa1,120,0.24086946308538482,0.008046500956015595,0.2269391242830235,0.012681718665342259,0.24086946308538482,0.2269391242830235,Golf_Lleo,Summer,,0.038997581370027116,0.05790739116594639
subregio,nao,anomalia_humitat_sol_capa1,480,-0.23874836295206472,1.197861171748914e-07,-0.19257342847045034,2.15787068681555e-05,0.23874836295206472,0.19257342847045034,Mediterrani_Central_Occidental,,,2.184549249390117e-06,0.00025587399448405733
subregio_estacio,roni,anomalia_precipitacio_mensual_mm,120,-0.23861945595119566,0.008674754016632273,-0.2299400155096836,0.011522157724610828,0.23861945595119566,0.2299400155096836,Catalunya_Balears,Spring,,0.04143990772276564,0.053935875604229175
global,wemo,anomalia_temperatura,1920,-0.23677248617665952,7.137322593639251e-26,-0.22784161047287282,4.974300288362684e-24,0.23677248617665952,0.22784161047287282,,,,9.309551209094676e-24,6.090979944933898e-22
subregio_estacio,wemo,anomalia_humitat_sol_capa1,120,0.23474180665999872,0.009859499349629043,0.2687175641815585,0.0030010784582494405,0.23474180665999872,0.2687175641815585,Golf_Lleo,Autumn,,0.046036572838734836,0.018151684223282907
subregio,wemo,anomalia_sst,480,-0.234559516340897,2.011872335011382e-07,-0.20184140725794575,8.32918288484441e-06,0.234559516340897,0.20184140725794575,Llevant_Iberic,,,3.5296005877392664e-06,0.00010840585099580578
subregio_estacio,nao,anomalia_precipitacio_mensual_mm,120,-0.23448321668822142,0.009943343227828002,-0.2710839713372447,0.002746425575216128,0.23448321668822142,0.2710839713372447,Llevant_Iberic,Autumn,,0.04631992186876398,0.01695324429145758
subregio,nao,anomalia_humitat_sol_capa1,480,-0.23096159435780625,3.116594979335455e-07,-0.22790857938614778,4.4932678580744956e-07,0.23096159435780625,0.22790857938614778,Catalunya_Balears,,,5.342734250289352e-06,8.047643924909544e-06
subregio_estacio,roni,anomalia_sst,120,0.22916728264671068,0.011811499255454579,0.24204149134293207,0.0077354534798250675,0.22916728264671068,0.24204149134293207,Golf_Lleo,Autumn,,0.05352218729193569,0.03943306786656789
subregio_estacio,roni,anomalia_temperatura,120,-0.2290515734724625,0.011855368423568704,-0.21839259691740084,0.016560083017642974,0.2290515734724625,0.21839259691740084,Mediterrani_Central_Occidental,Spring,,0.053644201011623094,0.0708705407317103
subregio_estacio,nao,anomalia_sst,120,0.2274651710625744,0.012471367328962892,0.23078859692621045,0.011211586870943169,0.2274651710625744,0.23078859692621045,Golf_Lleo,Spring,,0.05573284055558633,0.052843300255820125
estacio,nao,anomalia_temperatura,480,0.22739475045910867,4.776236072080667e-07,0.20012192595675687,9.971625481412642e-06,0.22739475045910867,0.20012192595675687,,Spring,,7.829895200132241e-06,0.00012811510254491618
subregio,wemo,anomalia_humitat_sol_capa1,480,0.22675580317985874,5.152059752111823e-07,0.2368393375940968,1.519000215341362e-07,0.22675580317985874,0.2368393375940968,Golf_Lleo,,,8.377332930263126e-06,3.0079212184977468e-06
subregio_estacio,nao,anomalia_humitat_sol_capa1,120,-0.22663704856154362,0.012803906188732495,-0.21839509543767363,0.016558813518193518,0.22663704856154362,0.21839509543767363,Catalunya_Balears,Autumn,,0.05682231898989234,0.0708705407317103
